"Name of Satellite, Alternate Names"	Current Official Name of Satellite	Country/Org of UN Registry	Country of Operator/Owner	Operator/Owner	Users	Purpose	Detailed Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime (yrs.)	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source		Source	Source	Source	Source	Source																																																																																																																																																																																																																											
"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)"	USA 298	NR (4/20)	USA	US Air Force 	Military	Communications		GEO		0.00	"35,780"	"35,780"	0.00E+00	0.00	1436	"6,169"			3/26/2020		Lockheed Martin Space Systems	USA	Cape Canaveral	Atlas 5	2020-022B	45465			Estimated	https://www.zarya.info/Diaries/Launches/Launches.php?year=2020	https://spaceflightnow.com/2020/03/26/atlas-5-rocket-launch-caps-deployment-of-ultra-secure-military-communications-network/																																																																																																																																																																																																																																
Aeneas	Aeneas	USA	USA	Department of Homeland Security	Government	Technology Development		LEO	Equatorial	0.00	480	790	2.21E-02	0.02	97.4	3			9/13/2012		University of Southern California	USA	Vandenberg AFB	Atlas 5	2012-048C	38760	Demonstration program to track cargo containers worldwide.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end		http://www.spaceflight101.com/nrol-36-launch.updates.html	http://www.isi.edu/projects/serc/aeneas																																																																																																																																																																																																																														
Aeolus	Aeolus	ESA	ESA	European Space Agency (ESA)	Government	Earth Observation	Earth Science	LEO		0.00	314	317	2.24E-04	96.70	92.4	"1,367"			8/22/2018	3	Airbus Defense and Space	France/UK/Germany/Spain	Guiana Space Center	Vega	2018-066A	43600	"Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment."		JMSatcat/11_18	https://spaceflightnow.com/2018/08/22/pioneering-european-winds-observatory-launched-aboard-vega-rocket/																																																																																																																																																																																																																																	
Aerocube 10A (Jimsat)	Aerocube 10A	USA	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Non-Polar Inclined	0.00	469	481	8.77E-04	51.60	94.15	2			8/9/2019		Aerospace Corporation	USA	Cygnus	Nanorack Deployer	2019-022D	44485			JMSatcat/11_19	https://planet4589.org/space/jsr/back/news.768.txt		https://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																															
Aerocube 10B (Dougsat)	Aerocube 10B	USA	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Non-Polar Inclined	0.00	471	483	8.76E-04	51.60	94.15	2			8/9/2019		Aerospace Corporation	USA	Cygnus	Nanorack Deployer	2019-022C	44484			JMSatcat/11_19	https://planet4589.org/space/jsr/back/news.768.txt		https://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																															
Aerocube 11A (TOMSat Eagle Scout)	Aerocube 11A	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Polar	0.00	495	511	1.16E-03	85.03	94.6	4			12/17/2018		Aerospace Corporation	USA	Rocket Lab Launch Complex 1	Electron	2018-104N	43861	Will test miniaturized imagers.		JMSatcat/3_19	https://directory.eoportal.org/web/eoportal/satellite-missions/e/electron		https://spaceflightnow.com/2018/12/17/nasa-rocket-lab-partner-on-successful-satellite-launch-from-new-zealand/	https://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																														
Aerocube 11B (TOMSat R3)	Aerocube 11B	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Polar	0.00	492	511	1.38E-03	85.30	94.6	4			12/17/2018		Aerospace Corporation	USA	Rocket Lab Launch Complex 1	Electron	2018-104A	43849	Will test miniaturized imagers.		JMSatcat/3_19	https://directory.eoportal.org/web/eoportal/satellite-missions/e/electron		https://spaceflightnow.com/2018/12/17/nasa-rocket-lab-partner-on-successful-satellite-launch-from-new-zealand/	https://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																														
Aerocube 12A	Aerocube 12A	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Non-Polar Inclined	0.00	481	487	4.38E-04	51.60	94.2	4			7/16/2018		Aerospace Corporation	USA	Cygnus	Nanorack Deployer	2018-046C	43556			JMSatcat/3_19	http://nanoracks.com/fifth-external-cygnus-deployment/		https://spaceflightnow.com/2018/05/21/antares-rocket-launch-kicks-off-space-stations-next-commercial-cargo-delivery/	https://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																														
Aerocube 12B	Aerocube 12B	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO	Non-Polar Inclined	0.00	481	487	4.38E-04	51.60	94.2	4			7/16/2018		Aerospace Corporation	USA	Cygnus	Nanorack Deployer	2018-046D	43557			JMSatcat/3_19	http://nanoracks.com/fifth-external-cygnus-deployment/		https://spaceflightnow.com/2018/05/21/antares-rocket-launch-kicks-off-space-stations-next-commercial-cargo-delivery/	https://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																														
Aerocube 14A	Aerocube 14A	NR (3/20)	USA	Aerospace Corporation	Military	Technology Development		LEO	Non-Polar Inclined	0.00	459	474	1.10E-03	51.60	93.9				1/31/2020		Aerospace Corporation	USA	Cygnus	Nanorack Deployer	2019-071D	45114	"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads, and test the perforance of advanced solar cells."		JMSatcat/3_20	http://spaceref.com/news/viewpr.html?pid=55212	https://airtable.com/shrafcwXODMMKeRgU/tbldJoOBP5wlNOJQY?blocks=hide																																																																																																																																																																																																																																
