"Name of Satellite, Alternate Names"	Current Official Name of Satellite	Country/Org of UN Registry	Country of Operator/Owner	Operator/Owner	Users	Purpose	Detailed Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime (yrs.)	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source		Source	Source	Source	Source	Source																																																																																																																																																																																																																											
Anik F2 	Anik F2	Canada	Canada	"Telesat Canada Ltd. (BCE, Inc.)"	Commercial	Communications		GEO		-111.07	"35,781"	"35,790"	1.07E-04	0.01	1436.08	"5,910"	"3,805"	"16,000"	7/18/2004	15	Boeing Satellite Systems	USA	Guiana Space Center	Ariane 5	2004-027A	28378	"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada"		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html		http://www.telesat.ca/satellites/index.htm	http://www.boeing.com/defense-space/space/bss/factsheets/702/anik_f2/anik_f2.html	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2004/027A.HTM																																																																																																																																																																																																																													
Anik F3	Anik F3	Canada	Canada	"Telesat Canada Ltd. (BCE, Inc.)"	Commercial	Communications		GEO		-118.69	"35,778"	"35,794"	1.90E-04	0.01	1436.1	"4,715"		"17,500"	4/9/2007	15	EADS Astrium	France/UK/Germany/Spain	Baikonur Cosmodrome	Proton M	2007-009A	31102	"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America."		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/spx642.html		http://www.telesat.ca/satellites/index-e.asp																																																																																																																																																																																																																															
Anik G1	Anik G1	NR	Canada	"Telesat Canada Ltd. (BCE, Inc.)"	Commercial	Communications		GEO		-107.30	"35,773"	"35,799"	3.08E-04	0.01	1436.08	"4,905"		"17,500"	4/15/2013	15	Space Systems/Loral	USA	Baikonur Cosmodrome	Proton M	2013-014A	39127	16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.		SC - ASCR	http://www.telesat.com/news-events/telesat-successfully-launches-anik-g1-satellite		http://www.ssloral.com/html/satexp/anik_g1.html	http://www.planet4589.org/space/log/geo.log	http://space50.kosmo.cz/s40/2013/I014A.HTM																																																																																																																																																																																																																													
Aoba-VELOX 4	Aoba-VELOX 4	NR	Japan	Kyushu Institute of Technology (KIT)	Civil	Technology Development		LEO	Sun-Synchronous	0.00	481	513	2.33E-03	97.30	94.6	3			1/18/2019		Kyushu Institute of Technology	Japan	Uchinoura Space Center	Epsilon	2019-003J	43940	"Will demonstrate an attitude control and orbital control system, and a low-light camera, for lunar observations."		JMSatcat/3_19	https://spaceflightnow.com/2019/01/18/japans-epsilon-rocket-launches-seven-tech-demo-satellites/		https://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																															
AprizeSat 1 (LatinSat-C)	AprizeSat 1	USA	Argentina	Aprize Satellite Argentina	Commercial	Communications/Technology Development		LEO	Sun-Synchronous	0.00	696	764	4.79E-03	98.00	99.4	12	12		6/29/2004		Aprize Satellite 	Argentina	Baikonur Cosmodrome	Dnepr	2004-025G	28372	Messaging services.		www.satellitedebris.net 12/12	http://www.spacenewsfeed.co.uk/2004/4July2004_11.html		http://nssdc.gsfc.nasa.gov/spacewarn/spx608.html	http://www.spacenewsfeed.co.uk/2004/4July2004_11.html																																																																																																																																																																																																																														
AprizeSat 10 (exactView-13)	AprizeSat 10	NR	USA/Argentina	Aprize Satellite	Commercial	Communications/Maritime Tracking	Automatic Identification System (AIS)	LEO	Sun-Synchronous	0.00	613	733	8.52E-03	97.90	98	12	12		6/19/2014		SpaceQuest	USA	Dombarovsky Air Base	Dnepr	2014-033K	40019	Will provide tracking and data monitoring services for companies with remote or mobile assets.		ZARYA																																																																																																																																																																																																																																		
AprizeSat 2 (LatinSat-D)	AprizeSat 2	USA	Argentina	Aprize Satellite Argentina	Commercial	Communications/Technology Development		LEO	Sun-Synchronous	0.00	694	850	1.09E-02	98.20	100.3	12	12		6/29/2004		Aprize Satellite 	Argentina	Baikonur Cosmodrome	Dnepr	2004-025A	28366	Messaging services.		www.satellitedebris.net 12/12	http://www.spacenewsfeed.co.uk/2004/4July2004_11.html		http://nssdc.gsfc.nasa.gov/spacewarn/spx608.html	http://www.spacenewsfeed.co.uk/2004/4July2004_11.html																																																																																																																																																																																																																														
AprizeSat 3 	AprizeSat 3	USA	USA/Argentina	Aprize Satellite	Commercial	Communications/Maritime Tracking	Automatic Identification System (AIS)	LEO	Sun-Synchronous	0.00	559	662	7.38E-03	98.18	97	12	12		7/29/2009		SpaceQuest	USA	Baikonur Cosmodrome	Dnepr	2009-041F	35686	Will provide tracking and data monitoring services for companies with remote or mobile assets.		www.satellitedebris.net 12/12	http://www.talksatellite.com/Americas-A830.htm		http://www.aprizesat.com/press/AprizeSat_Launch_9-8-08.pdf																																																																																																																																																																																																																															
AprizeSat 4 	AprizeSat 4	USA	USA/Argentina	Aprize Satellite	Commercial	Communications/Maritime Tracking	Automatic Identification System (AIS)	LEO	Sun-Synchronous	0.00	604	674	4.99E-03	98.10	97.5	12	12		7/29/2009		SpaceQuest	USA	Baikonur Cosmodrome	Dnepr	2009-041D	35684	Will provide tracking and data monitoring services for companies with remote or mobile assets.		www.satellitedebris.net 12/12	http://www.talksatellite.com/Americas-A830.htm		http://www.aprizesat.com/press/AprizeSat_Launch_9-8-08.pdf																																																																																																																																																																																																																															
AprizeSat 5	AprizeSat 5	USA	Canada	Aprize Satellite	Commercial	Communications	Automatic Identification System (AIS)	LEO	Sun-Synchronous	0.00	610	694	5.98E-03	98.20	97.8	12	12		8/17/2011		SpaceQuest	USA	Dombarovsky Air Base	Dnepr	2011-044E	37792	Continuation of constellation.		www.satellitedebris.net 12/12	http://www.exactearth.com/news-folder-2/dnepr-launches-aprizesat-5-and-aprizesat-6/		http://www.aprizesat.com/technology.php	http://www.lib.cas.cz/space.40/2011/044E.HTM																																																																																																																																																																																																																														
AprizeSat 7	AprizeSat 7	USA	Canada	Aprize Satellite	Commercial	Communications	Automatic Identification System (AIS)	LEO	Sun-Synchronous	0.00	594	653	4.22E-03	97.80	97.17	12	12		11/21/2013		SpaceQuest	USA	Dombarovsky Air Base	Dnepr	2013-066A	39416	Continuation of constellation.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013		http://space50.kosmo.cz/s40/2013/I066A.HTM																																																																																																																																																																																																																															
AprizeSat 8 (exactView-12)	AprizeSat 8	NR	USA/Argentina	Aprize Satellite	Commercial	Communications/Maritime Tracking	Automatic Identification System (AIS)	LEO	Sun-Synchronous	0.00	594	669	5.36E-03	97.80	97.99	12	12		11/21/2013		SpaceQuest	USA	Dombarovsky Air Base	Dnepr	2013-066K	39425	Continuation of constellation.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																																	
AprizeSat 9 (exactView-11)	AprizeSat 9	NR	Canada	exactEarth	Commercial	Communications/Maritime Tracking	Automatic Identification System (AIS)	LEO	Sun-Synchronous	0.00	613	715	7.25E-03	97.90	98	12	12		6/19/2014		SpaceQuest	USA	Dombarovsky Air Base	Dnepr	2014-033J	40018	Will provide tracking and data monitoring services for companies with remote or mobile assets.		ZARYA	http://www.nasaspaceflight.com/2014/06/russian-dnepr-rocket-record-launch-37-satellites/		http://www.astronautix.com/craft/aprzesat.htm																																																																																																																																																																																																																															
Apstar 6	Apstar 6	China	China	APT Satellite Holdings Ltd.	Commercial	Communications		GEO		134.04	"35,778"	"35,794"	1.90E-04	0.01	1436.08	"4,680"			4/12/2005		Alcatel Space Industries	France/Italy	Xichang Satellite Launch Center	Long March 3B	2005-012A	28638	Partial power failure in 2018. Apstar 6C has taken over its position.		JM/12_08	http://www.apstar.com/apstar/apstar_vi.html		http://www.apstar.com/pressroom/press/press50.htm	http://www.lib.cas.cz/knav/space.40/2005/I012A.HTM	https://spacenews.com/apt-satellite-nets-21-million-from-apstar-6-insurance-claim-next-satellite-delayed/
